commit	val_bpb	memory_gb	status	description
df3e588	2.095573	0.0	keep	baseline on M1 Pro; evaluation dominates wall-clock
374a6ec	2.152058	0.0	discard	reduce total batch size to 2**15; faster wall-clock but worse val_bpb
f3d1f58	1.778950	0.0	keep	reduce depth from 4 to 3; much better val_bpb and faster wall-clock
9ff8709	2.174275	0.0	discard	reduce head dimension to 64 at depth 3; worse val_bpb and slower than depth-3 best
1ace239	1.639182	0.0	keep	lower embedding, matrix, and scalar learning rates on depth-3 checkpoint
01726fa	1.696098	0.0	discard	add warmup and less aggressive cooldown on lower-LR checkpoint
564dc82	1.647455	0.0	discard	use short window in first layer; near-best speed but slightly worse val_bpb
b4c3428	1.681401	0.0	discard	lower weight decay to 0.1 on best checkpoint; worse val_bpb with fewer steps
2d5d6f6	1.641244	0.0	discard	lower embedding LR to 0.40 on best checkpoint; nearly tied best but still worse
57dccfc	1.867773	0.0	discard	lower MATRIX_LR from 0.03 to 0.028 on the current best checkpoint
51a945d	1.650867	0.0	discard	lower MATRIX_LR from 0.03 to 0.025 on the current best checkpoint
69a7274	1.641866	0.0	discard	lower SCALAR_LR from 0.35 to 0.30 on the current best checkpoint
36e1830	1.637168	0.0	keep	lower SCALAR_LR from 0.35 to 0.25 on the current best checkpoint
cfc7f96	1.639387	0.0	discard	lower UNEMBEDDING_LR from 0.004 to 0.003 on the current best checkpoint
ee20bf0	1.626630	0.0	keep	raise UNEMBEDDING_LR from 0.004 to 0.005 on the current best checkpoint
0f032e7	1.631628	0.0	discard	lower WEIGHT_DECAY from 0.2 to 0.15 on the current best checkpoint
824597a	1.621708	0.0	keep	set WARMDOWN_RATIO from 0.5 to 0.4 while keeping no warmup and zero final LR
cce4abe	1.623379	0.0	discard	set WARMDOWN_RATIO from 0.4 to 0.35 — more steps at peak LR
e696d53	1.621203	0.0	keep	set WARMDOWN_RATIO from 0.4 to 0.30
21860c4	1.716475	0.0	discard	lower SCALAR_LR from 0.25 to 0.20
26f6e31	1.675572	0.0	discard	lower EMBEDDING_LR from 0.45 to 0.42
6f4b9a5	1.651349	0.0	discard	lower EMBEDDING_LR from 0.45 to 0.40
eb2bbb9	1.878980	0.0	discard	raise UNEMBEDDING_LR from 0.005 to 0.006
a2063d0	1.625393	0.0	discard	raise MATRIX_LR from 0.03 to 0.032
7f4c7f4	1.677571	0.0	discard	lower WEIGHT_DECAY from 0.2 to 0.15 on the updated best checkpoint
c8cca1b	2.062247	0.0	discard	set WARMDOWN_RATIO from 0.30 to 0.25
6a5edd3	1.809597	0.0	discard	set WARMDOWN_RATIO from 0.30 to 0.20
b29ad6b	1.647907	0.0	discard	raise ADAM_BETAS beta1 from 0.8 to 0.85
2d84116	1.650593	0.0	discard	raise ADAM_BETAS beta1 from 0.8 to 0.90
250cc30	1.972390	0.0	discard	raise TOTAL_BATCH_SIZE from 2**16 to 2**17
832c907	1.871419	0.0	discard	set WINDOW_PATTERN from 'L' to 'LS' — full attention in layer 0, half-context in layer 1, full in layer 2
68833d1	1.940620	0.0	discard	raise ASPECT_RATIO from 64 to 80; model_dim goes from 256 to 384
9c2c026	1.684874	0.0	discard	increase ns_steps from 5 to 6 in the MuonAdamW optimizer call
9d88d86	2.058078	0.0	discard	change get_muon_momentum warmup from 300 steps to 80 steps so momentum reaches 0.95 before cooldown
d54a1d8	1.684748	0.0	discard	change get_muon_momentum to warm from 0.90 to 0.95 over 80 steps instead of 0.85 to 0.95 over 300
cbafe4f	1.680585	0.0	discard	raise FINAL_LR_FRAC from 0.0 to 0.1 so LR decays to 10% of peak rather than 0
1b9e0da	1.661176	0.0	discard	replace linear cooldown with cooldown**2 for a convex decay curve
a13c37e	1.686451	0.0	discard	raise Muon beta2 from 0.95 to 0.98 for slower variance adaptation
14e3392	1.582612	0.0	keep	set DEPTH=2 and ASPECT_RATIO=96 (model_dim stays 256, 2 layers instead of 3, ~50% more optimizer steps)
cfcd4d0	1.683845	0.0	discard	retry WARMDOWN_RATIO=0.25 on the depth-2 checkpoint (was catastrophic for depth-3 but depth-2 has ~50% more steps)
da48886	1.561836	0.0	keep	try WARMDOWN_RATIO=0.35 on depth-2 — slightly more cooldown
0053eca	1.580155	0.0	discard	retry MATRIX_LR=0.025 on depth-2 (was worse for depth-3 but depth-2 has different gradient dynamics)
e59235e	1.555866	0.0	keep	try MATRIX_LR=0.035 on depth-2 — slightly more aggressive Muon
35e3679	1.541022	0.0	keep	retry SCALAR_LR=0.20 on depth-2 (was much worse for depth-3 but depth-2 has different convergence speed)
84824c1	1.568834	0.0	discard	set DEPTH=1 and ASPECT_RATIO=192 (model_dim=256, 1 layer, potentially 3x more steps than depth-3)
3c3f680	1.521804	0.0	keep	lower SCALAR_LR from 0.20 to 0.15 — continuing the downward trend that worked for depth-2
e42e37e	1.529672	0.0	discard	raise MATRIX_LR from 0.035 to 0.04 — continuing the upward trend for Muon in depth-2
2d94c45	1.526849	0.0	discard	raise WARMDOWN_RATIO from 0.35 to 0.40 — continuing the trend toward more cooldown in depth-2
4769123	1.531466	0.0	discard	lower EMBEDDING_LR from 0.45 to 0.40 — was worse for depth-3 but depth-2 LRs are generally lower
4f8f00a	1.600924	0.0	discard	raise UNEMBEDDING_LR from 0.005 to 0.006 — was badly worse for depth-3 but depth-2 may tolerate it
004d232	1.548570	0.0	discard	raise WEIGHT_DECAY from 0.2 to 0.25 — more regularization with higher MATRIX_LR
4b062e5	1.574957	0.0	discard	lower SCALAR_LR from 0.15 to 0.10 — continuing the consistent downward trend
904ad57	1.701597	0.0	discard	try SCALAR_LR=0.12 between the successful 0.15 and next probe 0.10
7494da1	1.560370	0.0	discard	try MATRIX_LR=0.038 between the kept 0.035 and the failed 0.040
4cb12f4	1.536203	0.0	discard	try EMBEDDING_LR=0.42 between the current 0.45 and failed 0.40
ddf3bc6	1.529415	0.0	discard	try WARMDOWN_RATIO=0.38 between the kept 0.35 and failed 0.40
e37b31b	0.000000	0.0	crash	raise DEVICE_BATCH_SIZE from 16 to 32 so grad_accum_steps becomes 1 (single forward pass per step)
